Plant,City,State,Country,Pincode,Longitude,Lattitude
1173,Rantoul,IL,USA,61866,40.30472,–88.15194
2850,Rochelle,IL,USA,61068,41.91843,–89.06275 
2800,Rochelle,IL,USA,61068,41.91843,–89.06275
1100,Council,OH,USA,43223,39.96118,–82.99879
1450,Blytheville,AR,USA,72315,35.92506,–89.91881
1600,Cambridge,OH,USA,72315,40.03788,–81.59336
2900,Auburn,WA,USA,98002,47.30726,–122.22845
2910,Mountain House,CA,USA,95391,37.76779,–121.53885
2920,Garden Grove,CA,USA,92840,33.77391,–117.94145
3120,Atlanta,GA,USA,30303,33.74899,–84.38798
3130,Charlotte,NC,USA,28202,35.22709,–80.84313
3165,Dallas,TX,USA,75201,32.77666,–96.79699
3180,North Brunswick,NJ,USA,8902,40.48621,–74.45182
3200,Santa Fe Springs,CA,USA,90670,33.94749,–118.08340
3380,Cincinnati,OH,USA,45202,39.10312,–84.51202
3410,Syracuse,NY,USA,13202,43.04812,–76.14742
3420,Geismar,LA,USA,70734,30.22695,–90.88997
3440,Portland,OR,USA,97201,45.51523,–122.67814
3485,Miami,FL,USA,33101,25.76168,–80.19179
3500,Phoenix,AZ,USA,85003,33.44838,–112.07404
3590,Tampa,FL,USA,33602,27.95058,–82.45718
3530,Norcross,GA,USA,30071,33.93888,–84.21384
3540,Edison,NJ,USA,8903,40.55843,–74.35711
3560,Houston,TX,USA,77002,29.76043,–95.36980
3570,Louisville,KY,USA,40202,38.25267,–85.75845
4170,Iriving,TX,USA,75039,32.81402,–96.94889
4180,Aurora,CO,USA,80012,39.72943,–104.83192
4350,Mississauga,ON,Canada,            L5B 3C9,43.58904,–79.64412
1175,Mt. Braddock,PA,USA,15465,39.94285,–79.64449 
4380,Indianapolis,IN,USA,46204,39.76838,–86.15804
1172,Richmond,KY,USA,40475,37.7482,-84.2958
1940,Richmond,KY,USA,40475,37.7482,-84.2958
