Plant,Material,Description,Unrestr.Stock,UOM,Open Cust Ord,Total Open Delv,Open Prod Ord,Open Purch Ord,Open STO,In Transit,Net Available,Current Tons,Safety Stock,Max Stock Lvl,Planning Material,Restric Stock,Blocked Stock,In Qual.Insp (Restr.),Material Group,Outer Diameter,Plant Name,Wall Thickness,City,State,Country,Pincode,Full Location,Material Type,Weekly Forecast,Days of Supply Available,Organisation,Sub Category,Material Category,Column1,,,,,,,,,,,
3200,06436,3/4    ELBOW RIGID ALUM 45 DEG STD RAD,0.006,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.000,0.000,R01050107-ALUM,0.000,0.000,0.000,59,1.050,Nelson and Associates,0.0000,Santa Fe Springs,CA,USA,90670,"Santa Fe Springs, CA, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3200064363/4    ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
3130,06436,3/4    ELBOW RIGID ALUM 45 DEG STD RAD,0.005,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.000,0.000,R01050107-ALUM,0.000,0.000,0.000,59,1.050,Carter York Agency,0.0000,Charlotte,NC,USA,28202,"Charlotte, NC, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3130064363/4    ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06436,3/4    ELBOW RIGID ALUM 45 DEG STD RAD,0.007,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.007,0.000,0.000,R01050107-ALUM,0.000,0.000,0.000,59,1.050,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600064363/4    ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
3130,06437,1      ELBOW RIGID ALUM 45 DEG STD RAD,0.004,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.000,0.000,,0.000,0.000,0.000,59,1.315,Carter York Agency,0.0000,Charlotte,NC,USA,28202,"Charlotte, NC, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3130064371      ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06437,1      ELBOW RIGID ALUM 45 DEG STD RAD,0.021,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.021,0.000,0.000,,0.000,0.000,0.000,59,1.315,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600064371      ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
3130,06438,1 1/4  ELBOW RIGID ALUM 45 DEG STD RAD,0.001,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,R01660133-ALUM,0.000,0.000,0.000,59,1.660,Carter York Agency,0.0000,Charlotte,NC,USA,28202,"Charlotte, NC, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3130064381 1/4  ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
2900,06438,1 1/4  ELBOW RIGID ALUM 45 DEG STD RAD,0.022,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.022,0.014,0.000,R01660133-ALUM,0.000,0.000,0.000,59,1.660,Auburn Warehouse,0.0000,Auburn,WA,USA,98002,"Auburn, WA, USA",Elbow Blanks,0.01,0.00,Zekelman Warehouse,Elbow Blanks,,2900064381 1/4  ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06438,1 1/4  ELBOW RIGID ALUM 45 DEG STD RAD,0.040,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.040,0.014,0.000,R01660133-ALUM,0.000,0.000,0.000,59,1.660,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.01,0.00,Manufacturing Plants,Elbow Blanks,,1600064381 1/4  ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
4350,06439,1 1/2  ELBOW RIGID ALUM 45 DEG STD RAD,0.001,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,R01900138-ALUM,0.000,0.000,0.000,59,1.900,Northwinds Corporation,0.0000,Mississauga,ON,Canada,            L5B 3C9,"Mississauga, ON, Canada",Elbow Blanks,0.00,0.00,Western,Elbow Blanks,,4350064391 1/2  ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
1600,06439,1 1/2  ELBOW RIGID ALUM 45 DEG STD RAD,0.016,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.016,0.004,0.000,R01900138-ALUM,0.000,0.000,0.000,59,1.900,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600064391 1/2  ELBOW RIGID ALUM 45 DEG STD RAD,,,,,,,,,,,
